FIPS,without_decimal,Percent_Below_Poverty
17049,1063,10.63
48299,1063,10.63
49049,1064,10.64
29027,1064,10.64
55127,1064,10.64
38017,1065,10.65
55077,1065,10.65
12117,1065,10.65
17195,1066,10.66
48285,1066,10.66
31067,1066,10.66
48059,1067,10.67
19141,1067,10.67
13077,1068,10.68
13135,1068,10.68
46009,1068,10.68
37031,1069,10.69
51007,1069,10.69
48319,1070,10.7
55005,1071,10.71
19087,1071,10.71
48497,1072,10.72
16015,1073,10.73
19155,1073,10.73
17015,1074,10.74
19151,1074,10.74
27045,1074,10.74
27077,1075,10.75
38043,1076,10.76
27035,1077,10.77
17087,1077,10.77
39063,1078,10.78
31181,1079,10.79
41017,1079,10.79
9003,1080,10.8
17073,1081,10.81
17173,1081,10.81
13311,1082,10.82
23009,1082,10.82
42075,1082,10.82
40103,1082,10.82
38027,1083,10.83
17041,1083,10.83
20157,1084,10.84
42067,1084,10.84
31105,1084,10.84
16001,1085,10.85
19041,1085,10.85
8001,1085,10.85
2240,1086,10.86
6059,1086,10.86
20201,1086,10.86
51017,1087,10.87
36037,1087,10.87
54023,1087,10.87
27081,1088,10.88
19001,1088,10.88
19109,1088,10.88
25003,1089,10.89
50003,1089,10.89
38077,1090,10.9
18069,1090,10.9
20025,1090,10.9
12091,1091,10.91
55025,1091,10.91
46125,1091,10.91
37097,1092,10.92
8107,1092,10.92
18079,1092,10.92
37089,1094,10.94
30029,1094,10.94
12087,1095,10.95
19005,1096,10.96
8087,1097,10.97
20153,1097,10.97
51031,1097,10.97
27033,1097,10.97
38019,1098,10.98
27113,1099,10.99
55007,1100,11
31131,1100,11
18061,1100,11
27005,1100,11
27047,1101,11.01
42007,1102,11.02
29113,1102,11.02
26009,1102,11.02
6057,1104,11.04
31065,1104,11.04
27115,1104,11.04
48281,1107,11.07
42005,1107,11.07
12015,1107,11.07
31003,1108,11.08
31085,1109,11.09
51790,1110,11.1
47149,1110,11.1
47009,1110,11.1
19035,1110,11.1
39161,1111,11.11
30105,1112,11.12
