State,FIPS,Value (Dollars),Rank within US
"Lake County, California",6033,47040,2099 of 3146
"Kane County, Utah",49025,47044,2098 of 3146
"Greene County, Arkansas",5055,47056,2097 of 3146
"Florence County, South Carolina",45041,47058,2096 of 3146
"Vilas County, Wisconsin",55125,47072,2095 of 3146
"Brewster County, Texas",48043,47080,2094 of 3146
"Chattahoochee County, Georgia",13053,47096,2093 of 3146
"Spalding County, Georgia",13255,47111,2092 of 3146
"Coos County, New Hampshire",33007,47117,2091 of 3146
"Oglethorpe County, Georgia",13221,47120,2090 of 3146
"Garvin County, Oklahoma",40049,47125,2089 of 3146
"Perquimans County, North Carolina",37143,47162,2088 of 3146
"Stephens County, Georgia",13257,47164,2087 of 3146
"Hopkins County, Kentucky",21107,47170,2086 of 3146
"Miller County, Missouri",29131,47171,2085 of 3146
"Breckinridge County, Kentucky",21027,47190,2084 of 3146
"Wexford County, Michigan",26165,47193,2083 of 3146
"Missaukee County, Michigan",26113,47194,2082 of 3146
"Prince Edward County, Virginia",51147,47202,2081 of 3146
"Gooding County, Idaho",16047,47204,2080 of 3146
"Dale County, Alabama",1045,47214,2078 of 3146
"Stephens County, Oklahoma",40137,47214,2078 of 3146
"Northampton County, Virginia",51131,47227,2077 of 3146
"Jefferson County, Florida",12065,47240,2075 of 3146
"Okanogan County, Washington",53047,47240,2075 of 3146
"Richmond City, Virginia",51760,47250,2074 of 3146
"Jackson County, North Carolina",37099,47252,2073 of 3146
"Muskingum County, Ohio",39119,47254,2072 of 3146
"Calhoun County, Alabama",1015,47255,2071 of 3146
"Laclede County, Missouri",29105,47257,2070 of 3146
"Lincoln County, Colorado",8073,47258,2069 of 3146
"Douglas County, Oregon",41019,47267,2068 of 3146
"Rapides Parish, Louisiana",22079,47269,2067 of 3146
"Trumbull County, Ohio",39155,47280,2066 of 3146
"Craighead County, Arkansas",5031,47286,2065 of 3146
"Deuel County, Nebraska",31049,47287,2064 of 3146
"Randolph County, North Carolina",37151,47288,2063 of 3146
"George County, Mississippi",28039,47292,2062 of 3146
"Mercer County, Missouri",29129,47298,2061 of 3146
"Nye County, Nevada",32023,47300,2060 of 3146
"Wayne County, Michigan",26163,47301,2059 of 3146
"Fayette County, Ohio",39047,47308,2058 of 3146
"Wood County, West Virginia",54107,47321,2057 of 3146
"Henderson County, Texas",48213,47355,2056 of 3146
"Fayette County, Pennsylvania",42051,47364,2055 of 3146
"Knox County, Indiana",18083,47380,2054 of 3146
"Crockett County, Texas",48105,47386,2053 of 3146
"Sullivan County, Pennsylvania",42113,47407,2052 of 3146
"Delta County, Michigan",26041,47434,2051 of 3146
"Pitt County, North Carolina",37147,47437,2050 of 3146
"Hardy County, West Virginia",54031,47438,2049 of 3146
"Webster County, Iowa",19187,47466,2048 of 3146
"Chilton County, Alabama",1021,47468,2047 of 3146
"Cumberland County, Virginia",51049,47469,2046 of 3146
"Dewey County, South Dakota",46041,47475,2045 of 3146
"Massac County, Illinois",17127,47481,2044 of 3146
"Pike County, Illinois",17149,47492,2043 of 3146
"Marion County, Ohio",39101,47498,2042 of 3146
"Bennett County, South Dakota",46007,47500,2038 of 3146
"Concho County, Texas",48095,47500,2038 of 3146
"Gilliam County, Oregon",41021,47500,2038 of 3146
"Irion County, Texas",48235,47500,2038 of 3146
"Marion County, Illinois",17121,47519,2037 of 3146
"Watauga County, North Carolina",37189,47526,2036 of 3146
"Rusk County, Wisconsin",55107,47532,2035 of 3146
"Bibb County, Alabama",1007,47542,2034 of 3146
"Jackson County, Ohio",39079,47550,2033 of 3146
"Benewah County, Idaho",16009,47556,2032 of 3146
"Maries County, Missouri",29125,47569,2031 of 3146
"Houston County, Alabama",1069,47580,2030 of 3146
"Mobile County, Alabama",1097,47583,2029 of 3146
"Jefferson County, Pennsylvania",42065,47603,2028 of 3146
"Monona County, Iowa",19133,47605,2027 of 3146
"Imperial County, California",6025,47622,2026 of 3146
"Bates County, Missouri",29013,47625,2025 of 3146
"Cheyenne County, Kansas",20023,47639,2024 of 3146
"Labette County, Kansas",20099,47643,2022 of 3146
"Larue County, Kentucky",21123,47643,2022 of 3146
"Jay County, Indiana",18075,47658,2021 of 3146
"Benson County, North Dakota",38005,47667,2020 of 3146
"Sanilac County, Michigan",26151,47672,2019 of 3146
"Alleghany County and Clifton Forge City, Virginia",51005,47673,2018 of 3146
"Pittsylvania County, Virginia",51143,47690,2017 of 3146
"Sevier County, Arkansas",5133,47704,2016 of 3146
"McCulloch County, Texas",48307,47707,2015 of 3146
"Jefferson County, Iowa",19101,47708,2014 of 3146
"Gulf County, Florida",12045,47712,2013 of 3146
"Sawyer County, Wisconsin",55113,47714,2012 of 3146
"Randolph County, Missouri",29175,47740,2011 of 3146
"Morton County, Kansas",20129,47750,2010 of 3146
"Boyd County, Nebraska",31015,47778,2009 of 3146
"Gentry County, Missouri",29075,47790,2008 of 3146
"Banks County, Georgia",13011,47811,2007 of 3146
"Tangipahoa Parish, Louisiana",22105,47832,2006 of 3146
"Jackson County, West Virginia",54035,47837,2005 of 3146
"Suwannee County, Florida",12121,47839,2004 of 3146
"Gratiot County, Michigan",26057,47848,2003 of 3146
"Hampshire County, West Virginia",54027,47857,2002 of 3146
"Clayton County, Georgia",13063,47864,2001 of 3146
"Greeley County, Nebraska",31077,47869,2000 of 3146
"Lincoln County, Oregon",41041,47882,1999 of 3146
"Harrison County, Mississippi",28047,47894,1998 of 3146
"Milam County, Texas",48331,47902,1997 of 3146
"Orange County, Indiana",18117,47917,1995 of 3146
"Richardson County, Nebraska",31147,47917,1995 of 3146
"Mackinac County, Michigan",26097,47938,1994 of 3146
"Presque Isle County, Michigan",26141,47948,1993 of 3146
"Gray County, Texas",48179,47952,1992 of 3146
"Price County, Wisconsin",55099,47956,1991 of 3146
"Republic County, Kansas",20157,47976,1990 of 3146
"Crawford County, Michigan",26039,47977,1989 of 3146
"Rush County, Kansas",20165,47981,1988 of 3146
"Washington County, Indiana",18175,47983,1987 of 3146
"Fannin County, Georgia",13111,47997,1986 of 3146
"Carter County, Montana",30011,48000,1984 of 3146
"Saginaw County, Michigan",26145,48000,1984 of 3146
"Liberty County, Georgia",13179,48007,1983 of 3146
"Pawnee County, Oklahoma",40117,48009,1982 of 3146
"Logan County, Kentucky",21141,48014,1981 of 3146
"Murray County, Georgia",13213,48033,1980 of 3146
"Randolph County, Indiana",18135,48036,1979 of 3146
"Humboldt County, California",6023,48041,1978 of 3146
"Cheboygan County, Michigan",26031,48044,1977 of 3146
"Stokes County, North Carolina",37169,48054,1976 of 3146
"Colbert County, Alabama",1033,48065,1975 of 3146
"Smith County, Tennessee",47159,48068,1974 of 3146
"Hoke County, North Carolina",37093,48072,1973 of 3146
"Lauderdale County, Alabama",1077,48094,1972 of 3146
"Hancock County, Mississippi",28045,48119,1971 of 3146
"Decatur County, Kansas",20039,48125,1969 of 3146
"McPherson County, Nebraska",31117,48125,1969 of 3146
"Madison County, Tennessee",47113,48161,1968 of 3146
"Bleckley County, Georgia",13023,48174,1967 of 3146
"Cherokee County, Texas",48073,48186,1966 of 3146
"Camp County, Texas",48063,48207,1965 of 3146
"Towns County, Georgia",13281,48219,1964 of 3146
"Hockley County, Texas",48219,48248,1963 of 3146
"Sioux County, Nebraska",31165,48269,1962 of 3146
"Huron County, Michigan",26063,48289,1961 of 3146
"Adams County, Washington",53001,48294,1960 of 3146
"Boyd County, Kentucky",21019,48308,1959 of 3146
"Wharton County, Texas",48481,48310,1958 of 3146
"Marion County, Indiana",18097,48316,1957 of 3146
"Gove County, Kansas",20063,48317,1956 of 3146
"Brown County, Kansas",20013,48333,1955 of 3146
"Washington County, Tennessee",47179,48334,1954 of 3146
"Floyd County, Georgia",13115,48336,1953 of 3146
"Wilson County, Kansas",20205,48341,1952 of 3146
"Harmon County, Oklahoma",40057,48344,1951 of 3146
"Columbiana County, Ohio",39029,48345,1950 of 3146
"Jasper County, Missouri",29097,48357,1949 of 3146
"Brown County, Texas",48049,48365,1948 of 3146
"Hale County, Texas",48189,48384,1947 of 3146
"Allegany County, New York",36003,48412,1946 of 3146
"Mason County, Illinois",17125,48417,1945 of 3146
"Harrison County, Kentucky",21097,48438,1944 of 3146
"Curry County, Oregon",41015,48440,1943 of 3146
"Georgetown County, South Carolina",45043,48456,1942 of 3146
"Washington County, Virginia",51191,48495,1941 of 3146
"Clay County, Illinois",17025,48500,1940 of 3146
"Navarro County, Texas",48349,48529,1939 of 3146
"Bland County, Virginia",51021,48531,1938 of 3146
"Haralson County, Georgia",13143,48550,1937 of 3146
"Marshall County, West Virginia",54051,48557,1936 of 3146
"Taylor County, West Virginia",54091,48578,1935 of 3146
"Highland County, Virginia",51091,48587,1934 of 3146
"Genesee County, Michigan",26049,48588,1933 of 3146
"Van Buren County, Iowa",19177,48591,1932 of 3146
"Calhoun County, Michigan",26025,48607,1931 of 3146
"Simpson County, Kentucky",21213,48623,1929 of 3146
"Whitfield County, Georgia",13313,48623,1929 of 3146
"McKean County, Pennsylvania",42083,48647,1928 of 3146
"Wichita County, Texas",48485,48650,1927 of 3146
"Callahan County, Texas",48059,48651,1926 of 3146
"St. Martin Parish, Louisiana",22099,48656,1925 of 3146
"Perry County, Arkansas",5105,48667,1924 of 3146
"Northumberland County, Pennsylvania",42097,48671,1923 of 3146
"Scott County, Indiana",18143,48700,1922 of 3146
"Cattaraugus County, New York",36009,48703,1921 of 3146
"Grant County, Kentucky",21081,48714,1920 of 3146
"Lucas County, Ohio",39095,48736,1919 of 3146
"Terrebonne Parish, Louisiana",22109,48747,1918 of 3146
"Alexander County, North Carolina",37003,48756,1917 of 3146
"Linn County, Kansas",20107,48778,1916 of 3146
"Marion County, Missouri",29127,48784,1915 of 3146
"Polk County, North Carolina",37149,48787,1914 of 3146
"Knox County, Texas",48275,48798,1913 of 3146
"Owen County, Kentucky",21187,48801,1912 of 3146
"Stephenson County, Illinois",17177,48805,1911 of 3146
"Red Willow County, Nebraska",31145,48808,1910 of 3146
"Hernando County, Florida",12053,48812,1909 of 3146
"Bay County, Michigan",26017,48819,1908 of 3146
"Mariposa County, California",6043,48820,1907 of 3146
"Power County, Idaho",16077,48823,1906 of 3146
"Lake County, Montana",30047,48829,1905 of 3146
"Furnas County, Nebraska",31065,48838,1904 of 3146
"Adams County, Idaho",16003,48856,1903 of 3146
"Richland County, Illinois",17159,48894,1902 of 3146
"Clark County, Missouri",29045,48909,1901 of 3146
"Matagorda County, Texas",48321,48913,1900 of 3146
"Henderson County, Kentucky",21101,48926,1899 of 3146
"Valencia County, New Mexico",35061,48945,1898 of 3146
"Clark County, South Dakota",46025,48980,1897 of 3146
"Crook County, Oregon",41013,49006,1896 of 3146
"Clearfield County, Pennsylvania",42033,49015,1895 of 3146
"Buckingham County, Virginia",51029,49025,1894 of 3146
"Nance County, Nebraska",31125,49032,1893 of 3146
"Norton County, Kansas",20137,49038,1892 of 3146
"Somerset County, Pennsylvania",42111,49089,1891 of 3146
"Osage County, Oklahoma",40113,49103,1890 of 3146
"Tucker County, West Virginia",54093,49118,1889 of 3146
"Edgefield County, South Carolina",45037,49127,1888 of 3146
"Oconee County, South Carolina",45073,49134,1887 of 3146
"Jefferson County, Tennessee",47089,49139,1886 of 3146
"Vernon Parish, Louisiana",22115,49141,1885 of 3146
"Bracken County, Kentucky",21023,49158,1883 of 3146
"Latah County, Idaho",16057,49158,1883 of 3146
"Beltrami County, Minnesota",27007,49160,1882 of 3146
"Meigs County, Tennessee",47121,49167,1881 of 3146
"Orleans County, Vermont",50019,49168,1880 of 3146
"Blair County, Pennsylvania",42013,49181,1878 of 3146
"Brazos County, Texas",48041,49181,1878 of 3146
"Oxford County, Maine",23017,49204,1877 of 3146
"Pottawatomie County, Oklahoma",40125,49250,1876 of 3146
"Adams County, Iowa",19003,49255,1875 of 3146
"Cochise County, Arizona",4003,49260,1874 of 3146
"Polk County, Texas",48373,49279,1873 of 3146
"Franklin County, Nebraska",31061,49282,1872 of 3146
"White County, Illinois",17193,49290,1871 of 3146
"Seward County, Kansas",20175,49291,1870 of 3146
"Mills County, Texas",48333,49306,1869 of 3146
"Wheeler County, Texas",48483,49315,1868 of 3146
"Indiana County, Pennsylvania",42063,49320,1867 of 3146
"Hill County, Montana",30041,49321,1866 of 3146
"Albany County, Wyoming",56001,49322,1865 of 3146
"Kit Carson County, Colorado",8063,49349,1864 of 3146
"Aitkin County, Minnesota",27001,49351,1863 of 3146
"Blount County, Alabama",1009,49358,1862 of 3146
"Wythe County, Virginia",51197,49364,1861 of 3146
"Sequatchie County, Tennessee",47153,49370,1860 of 3146
"Stafford County, Kansas",20185,49375,1859 of 3146
"Switzerland County, Indiana",18155,49383,1858 of 3146
"Love County, Oklahoma",40085,49399,1857 of 3146
"Fremont County, Colorado",8043,49409,1856 of 3146
"Cass County, Indiana",18017,49415,1854 of 3146
"Rooks County, Kansas",20163,49415,1854 of 3146
"Marion County, Tennessee",47115,49432,1853 of 3146
"Montcalm County, Michigan",26117,49448,1852 of 3146
"Montgomery County, New York",36057,49462,1851 of 3146
"Montezuma County, Colorado",8083,49470,1850 of 3146
"Freestone County, Texas",48161,49471,1849 of 3146
"Lincoln County, Tennessee",47103,49485,1848 of 3146
"Sussex County, Virginia",51183,49487,1847 of 3146
"Benton County, Indiana",18007,49488,1846 of 3146
"Langlade County, Wisconsin",55067,49491,1845 of 3146
"Volusia County, Florida",12127,49494,1844 of 3146
"McIntosh County, Georgia",13191,49504,1843 of 3146
"Richmond County, Virginia",51159,49517,1842 of 3146
"Madison County, Indiana",18095,49522,1841 of 3146
"Holt County, Missouri",29087,49524,1840 of 3146
"Nash County, North Carolina",37127,49537,1839 of 3146
"Owen County, Indiana",18119,49543,1838 of 3146
"Delaware County, New York",36025,49544,1837 of 3146
"Davidson County, North Carolina",37057,49546,1836 of 3146
"Richland County, Ohio",39139,49547,1835 of 3146
"Lee County, Iowa",19111,49564,1834 of 3146
"Pickens County, South Carolina",45077,49573,1833 of 3146
"Pulaski County, Indiana",18131,49580,1832 of 3146
"Sevier County, Tennessee",47155,49610,1831 of 3146
"Giles County, Tennessee",47055,49614,1830 of 3146
"Hillsdale County, Michigan",26059,49622,1829 of 3146
"Garza County, Texas",48169,49627,1828 of 3146
"Jerauld County, South Dakota",46073,49632,1827 of 3146
"Glenn County, California",6021,49633,1826 of 3146
"Bourbon County, Kentucky",21017,49637,1825 of 3146
"Stone County, Missouri",29209,49656,1824 of 3146
"Campbell County, Virginia",51031,49664,1823 of 3146
"Greene County, Mississippi",28041,49677,1822 of 3146
"Tulare County, California",6107,49687,1821 of 3146
"Alamance County, North Carolina",37001,49688,1820 of 3146
"Alachua County, Florida",12001,49689,1818 of 3146
"Harrison County, Ohio",39067,49689,1818 of 3146
"Deaf Smith County, Texas",48117,49701,1816 of 3146
"McCone County, Montana",30055,49701,1816 of 3146
"Doniphan County, Kansas",20043,49703,1814 of 3146
"Jackson County, Oklahoma",40065,49703,1814 of 3146
"Vanderburgh County, Indiana",18163,49708,1813 of 3146
"Barton County, Kansas",20009,49723,1812 of 3146
"Bath County, Virginia",51017,49738,1811 of 3146
"Scotts Bluff County, Nebraska",31157,49745,1810 of 3146
"McLennan County, Texas",48309,49778,1809 of 3146
"Crawford County, Illinois",17033,49779,1808 of 3146
"Henry County, Indiana",18065,49832,1807 of 3146
"Harlan County, Nebraska",31083,49835,1806 of 3146
"Caldwell County, Missouri",29025,49839,1804 of 3146
"Monroe County, Indiana",18105,49839,1804 of 3146
"Rowan County, North Carolina",37159,49842,1803 of 3146
"Big Horn County, Montana",30003,49859,1802 of 3146
"Harper County, Kansas",20077,49865,1801 of 3146
"Winnebago County, Iowa",19189,49870,1800 of 3146
"Granite County, Montana",30039,49881,1799 of 3146
"Greene County, Illinois",17061,49885,1798 of 3146
"Sweet Grass County, Montana",30097,49886,1797 of 3146
"Tillamook County, Oregon",41057,49895,1796 of 3146
"Jefferson County, Illinois",17081,49896,1795 of 3146
"Custer County, Oklahoma",40039,49900,1793 of 3146
"Union County, Iowa",19175,49900,1793 of 3146
"Antelope County, Nebraska",31003,49912,1792 of 3146
"Cascade County, Montana",30013,49913,1791 of 3146
"Pawnee County, Kansas",20145,49917,1790 of 3146
"Mineral County, West Virginia",54057,49936,1788 of 3146
"Reno County, Kansas",20155,49936,1788 of 3146
"Venango County, Pennsylvania",42121,49945,1787 of 3146
"Hitchcock County, Nebraska",31087,49962,1786 of 3146
"Lake of the Woods County, Minnesota",27077,49967,1785 of 3146
"Tuscola County, Michigan",26157,49988,1784 of 3146
"Dickinson County, Kansas",20041,49991,1783 of 3146
"Lee County, North Carolina",37105,49994,1782 of 3146
"Henry County, Alabama",1067,50017,1781 of 3146
"Union County, Georgia",13291,50021,1779 of 3146
"Washington County, Ohio",39167,50021,1779 of 3146
"Lincoln County, Idaho",16063,50053,1778 of 3146
"Manistee County, Michigan",26101,50055,1777 of 3146
"Madison County, Kentucky",21151,50060,1776 of 3146
"Refugio County, Texas",48391,50076,1775 of 3146
"Scotland County, Missouri",29199,50085,1774 of 3146
"Phillips County, Kansas",20147,50093,1773 of 3146
"Washington County, Colorado",8121,50094,1772 of 3146
"Cowley County, Kansas",20035,50102,1771 of 3146
"Oceana County, Michigan",26127,50104,1770 of 3146
"Montgomery County, Alabama",1101,50124,1769 of 3146
"Castro County, Texas",48069,50142,1768 of 3146
"Perry County, Ohio",39127,50150,1767 of 3146
"La Salle County, Texas",48283,50151,1766 of 3146
"Palo Pinto County, Texas",48363,50154,1765 of 3146
"Iberville Parish, Louisiana",22047,50161,1764 of 3146
"Bowie County, Texas",48037,50164,1763 of 3146
"Lafayette County, Florida",12067,50165,1762 of 3146
"Barber County, Kansas",20007,50174,1761 of 3146
"Gregg County, Texas",48183,50180,1760 of 3146
"Cass County, Iowa",19029,50187,1759 of 3146
"Pike County, Indiana",18125,50194,1758 of 3146
"Titus County, Texas",48449,50196,1757 of 3146
"Lawrence County, Pennsylvania",42073,50204,1756 of 3146
"Transylvania County, North Carolina",37175,50212,1755 of 3146
"Anderson County, Kansas",20003,50213,1754 of 3146
"Mifflin County, Pennsylvania",42087,50219,1753 of 3146
"Atchison County, Missouri",29005,50236,1752 of 3146
"Vermillion County, Indiana",18165,50243,1751 of 3146
"Sullivan County, Indiana",18153,50245,1750 of 3146
"Warren County, Pennsylvania",42123,50250,1749 of 3146
"Wayne County, Illinois",17191,50251,1748 of 3146
"Bonner County, Idaho",16017,50256,1747 of 3146
"Lafayette County, Mississippi",28071,50272,1746 of 3146
"Onslow County, North Carolina",37133,50278,1745 of 3146
"Washburn County, Wisconsin",55129,50280,1744 of 3146
"Keweenaw County, Michigan",26083,50292,1743 of 3146
"Greensville County, Virginia",51081,50300,1742 of 3146
"Crawford County, Pennsylvania",42039,50304,1741 of 3146
"Marion County, West Virginia",54049,50305,1740 of 3146
"Warren County, Illinois",17187,50310,1739 of 3146
"Newaygo County, Michigan",26123,50326,1738 of 3146
"Marinette County, Wisconsin",55075,50330,1737 of 3146
"Jones County, Texas",48253,50344,1736 of 3146
"Mayes County, Oklahoma",40097,50345,1735 of 3146
"Roberts County, South Dakota",46109,50348,1734 of 3146
"Coffee County, Tennessee",47031,50351,1733 of 3146
"Cuyahoga County, Ohio",39035,50366,1732 of 3146
"Union County, Indiana",18161,50375,1731 of 3146
"Baltimore City, Maryland",24510,50379,1730 of 3146
"Clearwater County, Minnesota",27029,50386,1729 of 3146
"Anderson County, Tennessee",47001,50392,1727 of 3146
"Pontotoc County, Oklahoma",40123,50392,1727 of 3146
"Floyd County, Iowa",19067,50406,1726 of 3146
"Franklin County, New York",36033,50407,1725 of 3146
"Bedford County, Tennessee",47003,50415,1724 of 3146
"Taylor County, Iowa",19173,50431,1723 of 3146
"Atchison County, Kansas",20005,50439,1722 of 3146
"Lowndes County, Mississippi",28087,50441,1721 of 3146
"Washington County, Arkansas",5143,50451,1720 of 3146
"Angelina County, Texas",48005,50453,1719 of 3146
"Ochiltree County, Texas",48357,50464,1718 of 3146
"Macon County, Illinois",17115,50480,1717 of 3146
"Charles Mix County, South Dakota",46023,50481,1716 of 3146
"Fulton County, New York",36035,50482,1715 of 3146
"Montrose County, Colorado",8085,50489,1714 of 3146
"Pershing County, Nevada",32027,50491,1713 of 3146
"Hardin County, Ohio",39065,50506,1712 of 3146
"Bedford County, Pennsylvania",42009,50509,1711 of 3146
"San Juan County, New Mexico",35045,50518,1710 of 3146
"Clay County, Iowa",19041,50521,1709 of 3146
"Trigg County, Kentucky",21221,50536,1708 of 3146
"Fergus County, Montana",30027,50540,1707 of 3146
"Columbia County, Pennsylvania",42037,50550,1706 of 3146
"Pasquotank County, North Carolina",37139,50558,1705 of 3146
"Lee County, Mississippi",28081,50559,1704 of 3146
"Webster County, Missouri",29225,50560,1703 of 3146
"Caledonia County, Vermont",50005,50563,1701 of 3146
"Habersham County, Georgia",13137,50563,1701 of 3146
"Lake County, Colorado",8065,50565,1700 of 3146
"Davison County, South Dakota",46035,50570,1699 of 3146
"Payette County, Idaho",16075,50579,1698 of 3146
"Floyd County, Texas",48153,50580,1697 of 3146
"Ohio County, West Virginia",54069,50584,1695 of 3146
"Polk County, Florida",12105,50584,1695 of 3146
"Fall River County, South Dakota",46047,50588,1693 of 3146
"Washington County, Kansas",20201,50588,1693 of 3146
"Pend Oreille County, Washington",53051,50591,1692 of 3146
"Crawford County, Wisconsin",55023,50595,1691 of 3146
"Milwaukee County, Wisconsin",55079,50606,1690 of 3146
"Union County, Illinois",17181,50625,1689 of 3146
"Young County, Texas",48503,50635,1688 of 3146
"Miami County, Indiana",18103,50657,1687 of 3146
"Lincoln County, Oklahoma",40081,50671,1686 of 3146
"Mercer County, Pennsylvania",42085,50696,1685 of 3146
"Horry County, South Carolina",45051,50704,1684 of 3146
"Beckham County, Oklahoma",40009,50721,1682 of 3146
"Toole County, Montana",30101,50721,1682 of 3146
"Clay County, South Dakota",46027,50724,1681 of 3146
"Williamson County, Illinois",17199,50734,1680 of 3146
"Keith County, Nebraska",31101,50735,1679 of 3146
"Dawes County, Nebraska",31045,50750,1677 of 3146
"Gates County, North Carolina",37073,50750,1677 of 3146
"Wabash County, Illinois",17185,50770,1676 of 3146
"Sherman County, Nebraska",31163,50781,1675 of 3146
"Berrien County, Michigan",26021,50795,1674 of 3146
"Penobscot County, Maine",23019,50808,1673 of 3146
"Newton County, Missouri",29145,50813,1672 of 3146
"Hamilton County, Texas",48193,50825,1671 of 3146
"Carroll County, Missouri",29033,50830,1670 of 3146
"Livingston County, Kentucky",21139,50839,1669 of 3146
"Muskegon County, Michigan",26121,50854,1668 of 3146
"Anderson County, South Carolina",45007,50865,1667 of 3146
"Koochiching County, Minnesota",27071,50870,1666 of 3146
"Clark County, Ohio",39023,50873,1665 of 3146
"Cotton County, Oklahoma",40033,50885,1664 of 3146
"Edwards County, Kansas",20047,50902,1663 of 3146
"Platte County, Wyoming",56031,50903,1662 of 3146
"Belmont County, Ohio",39013,50904,1661 of 3146
"Escambia County, Florida",12033,50915,1660 of 3146
"Clinton County, Pennsylvania",42035,50923,1659 of 3146
"Grant County, North Dakota",38037,50938,1658 of 3146
"St. Lawrence County, New York",36089,50940,1657 of 3146
"Loup County, Nebraska",31115,51000,1656 of 3146
"Person County, North Carolina",37145,51020,1655 of 3146
"Tate County, Mississippi",28137,51030,1654 of 3146
"Thurston County, Nebraska",31173,51034,1653 of 3146
"Delta County, Texas",48119,51038,1652 of 3146
"Sheridan County, North Dakota",38083,51055,1651 of 3146
"Sherman County, Oregon",41055,51071,1650 of 3146
"Edwards County, Illinois",17047,51080,1649 of 3146
"Ross County, Ohio",39141,51092,1648 of 3146
"Blaine County, Nebraska",31009,51094,1647 of 3146
"Fayette County, Iowa",19065,51128,1646 of 3146
"Calcasieu Parish, Louisiana",22019,51148,1645 of 3146
"Pondera County, Montana",30073,51151,1644 of 3146
"Phillips County, Colorado",8095,51155,1643 of 3146
"Carbon County, Utah",49007,51158,1642 of 3146
"Starke County, Indiana",18149,51190,1641 of 3146
"Riley County, Kansas",20161,51208,1640 of 3146
"Wallowa County, Oregon",41063,51224,1639 of 3146
"Grays Harbor County, Washington",53027,51240,1638 of 3146
"Jefferson County, Texas",48245,51248,1637 of 3146
"Hardin County, Illinois",17069,51250,1632 of 3146
"Jackson County, Indiana",18071,51250,1632 of 3146
"Jasper County, Georgia",13159,51250,1632 of 3146
"Petroleum County, Montana",30069,51250,1632 of 3146
"Stonewall County, Texas",48433,51250,1632 of 3146
"Des Moines County, Iowa",19057,51267,1631 of 3146
"Osborne County, Kansas",20141,51286,1630 of 3146
"Roger Mills County, Oklahoma",40129,51302,1629 of 3146
"Creek County, Oklahoma",40037,51318,1628 of 3146
"Tioga County, Pennsylvania",42117,51324,1627 of 3146
"Bradley County, Tennessee",47011,51331,1626 of 3146
"Miami-Dade County, Florida",12086,51347,1625 of 3146
"Graham County, Arizona",4009,51353,1624 of 3146
"Heard County, Georgia",13149,51358,1623 of 3146
"Aiken County, South Carolina",45003,51399,1622 of 3146
"Armstrong County, Pennsylvania",42005,51410,1621 of 3146
"Hot Springs County, Wyoming",56017,51413,1620 of 3146
"Mendocino County, California",6045,51416,1619 of 3146
"Carter County, Oklahoma",40019,51419,1618 of 3146
"Franklin County, Maine",23007,51422,1617 of 3146
"Morgan County, Illinois",17137,51437,1616 of 3146
"Lee County, Alabama",1081,51463,1615 of 3146
"Kershaw County, South Carolina",45055,51479,1614 of 3146
"Mitchell County, Texas",48335,51492,1613 of 3146
"Liberty County, Texas",48291,51494,1612 of 3146
"Brooke County, West Virginia",54009,51496,1611 of 3146
"Charlotte County, Florida",12015,51499,1610 of 3146
"Saline County, Nebraska",31151,51502,1609 of 3146
"Floyd County, Virginia",51063,51521,1608 of 3146
"Erie County, Pennsylvania",42049,51529,1607 of 3146
"Montgomery County, Ohio",39113,51542,1606 of 3146
"Grand County, Utah",49019,51557,1605 of 3146
"Emmet County, Iowa",19063,51563,1604 of 3146
"Forsyth County, North Carolina",37067,51569,1603 of 3146
"Rains County, Texas",48379,51579,1602 of 3146
"Franklin County, Tennessee",47051,51585,1601 of 3146
"Norfolk City, Virginia",51710,51590,1600 of 3146
"Wheeler County, Nebraska",31183,51591,1599 of 3146
"St. James Parish, Louisiana",22093,51603,1598 of 3146
"Putnam County, Georgia",13237,51606,1597 of 3146
"Greene County, Indiana",18055,51613,1596 of 3146
"Swift County, Minnesota",27151,51620,1595 of 3146
"Yakima County, Washington",53077,51637,1594 of 3146
"Fulton County, Illinois",17057,51643,1593 of 3146
"Dickinson County, Michigan",26043,51645,1592 of 3146
"Greenup County, Kentucky",21089,51655,1591 of 3146
"Jackson County, Mississippi",28059,51657,1589 of 3146
"Shelby County, Tennessee",47157,51657,1589 of 3146
"Haywood County, North Carolina",37087,51659,1588 of 3146
"Daviess County, Kentucky",21059,51673,1587 of 3146
"Huntingdon County, Pennsylvania",42061,51678,1586 of 3146
"Daviess County, Missouri",29061,51679,1585 of 3146
"Clinton County, Iowa",19045,51688,1584 of 3146
"Montgomery County, Iowa",19137,51696,1583 of 3146
"Ford County, Kansas",20057,51711,1582 of 3146
"Mason County, Michigan",26105,51725,1581 of 3146
"Hayes County, Nebraska",31085,51726,1580 of 3146
"Bannock County, Idaho",16005,51734,1579 of 3146
"Logan County, Kansas",20109,51740,1578 of 3146
"Morgan County, West Virginia",54065,51745,1577 of 3146
"Pulaski County, Arkansas",5119,51749,1576 of 3146
"Banner County, Nebraska",31007,51750,1575 of 3146
"Montague County, Texas",48337,51765,1574 of 3146
"Stevens County, Washington",53065,51775,1573 of 3146
"Lumpkin County, Georgia",13187,51790,1572 of 3146
"Page County, Virginia",51139,51792,1571 of 3146
"East Feliciana Parish, Louisiana",22037,51803,1570 of 3146
