State,FIPS,Value (Dollars),Rank within US
"Johnson County, Kentucky",21115,37055,2903 of 3146
"McCurtain County, Oklahoma",40089,37061,2902 of 3146
"Leake County, Mississippi",28079,37096,2901 of 3146
"Meriwether County, Georgia",13199,37121,2900 of 3146
"Northampton County, North Carolina",37131,37146,2899 of 3146
"Atkinson County, Georgia",13003,37197,2897 of 3146
"Overton County, Tennessee",47133,37197,2897 of 3146
"Danville City, Virginia",51590,37203,2895 of 3146
"Warren County, Georgia",13301,37203,2895 of 3146
"Randolph County, Arkansas",5121,37218,2894 of 3146
"Clay County, Arkansas",5021,37233,2893 of 3146
"Scotland County, North Carolina",37165,37238,2892 of 3146
"Jackson County, Illinois",17077,37241,2891 of 3146
"Calhoun County, Mississippi",28013,37263,2890 of 3146
"Eastland County, Texas",48133,37276,2889 of 3146
"Lewis County, Tennessee",47101,37277,2888 of 3146
"Webster County, Georgia",13307,37297,2887 of 3146
"Lake County, Michigan",26085,37320,2886 of 3146
"Levy County, Florida",12075,37326,2885 of 3146
"Dooly County, Georgia",13093,37340,2884 of 3146
"Roane County, West Virginia",54087,37373,2883 of 3146
"Esmeralda County, Nevada",32009,37375,2882 of 3146
"Metcalfe County, Kentucky",21169,37386,2881 of 3146
"Ziebach County, South Dakota",46137,37400,2880 of 3146
"Clarke County, Alabama",1025,37404,2879 of 3146
"Douglas County, Missouri",29067,37425,2878 of 3146
"Macon County, Tennessee",47111,37430,2877 of 3146
"Iron County, Missouri",29093,37435,2876 of 3146
"Pike County, Alabama",1109,37446,2874 of 3146
"Taliaferro County, Georgia",13265,37446,2874 of 3146
"Emanuel County, Georgia",13107,37453,2873 of 3146
"Powell County, Kentucky",21197,37469,2872 of 3146
"Bristol City, Virginia",51520,37500,2871 of 3146
"Benton County, Tennessee",47005,37512,2870 of 3146
"Alamosa County, Colorado",8003,37515,2869 of 3146
"Bacon County, Georgia",13005,37519,2868 of 3146
"Washington Parish, Louisiana",22117,37570,2867 of 3146
"Columbus County, North Carolina",37047,37628,2866 of 3146
"Upson County, Georgia",13293,37640,2865 of 3146
"Marion County, Texas",48315,37662,2864 of 3146
"Putnam County, Florida",12107,37670,2863 of 3146
"Tishomingo County, Mississippi",28141,37681,2862 of 3146
"Caldwell Parish, Louisiana",22021,37691,2861 of 3146
"Pushmataha County, Oklahoma",40127,37692,2860 of 3146
"Wayne County, Mississippi",28153,37706,2859 of 3146
"Irwin County, Georgia",13155,37736,2858 of 3146
"Bullock County, Alabama",1011,37785,2857 of 3146
"Somerset County, Maryland",24039,37803,2856 of 3146
"Alleghany County, North Carolina",37005,37830,2855 of 3146
"Conecuh County, Alabama",1035,37837,2854 of 3146
"Wilkes County, Georgia",13317,37838,2853 of 3146
"Grant County, New Mexico",35017,37843,2852 of 3146
"Lake County, Oregon",41037,37898,2851 of 3146
"Culberson County, Texas",48109,37900,2850 of 3146
"Houston County, Texas",48225,37904,2849 of 3146
"Haywood County, Tennessee",47075,37905,2848 of 3146
"Henry County, Virginia",51089,37952,2847 of 3146
"Orangeburg County, South Carolina",45075,37955,2846 of 3146
"Polk County, Arkansas",5113,37974,2845 of 3146
"Neshoba County, Mississippi",28099,37987,2844 of 3146
"Wayne County, West Virginia",54099,37988,2843 of 3146
"Hansford County, Texas",48195,38000,2842 of 3146
"Liberty County, Florida",12077,38015,2841 of 3146
"Kiowa County, Oklahoma",40075,38019,2840 of 3146
"Adair County, Kentucky",21001,38021,2838 of 3146
"Kenedy County, Texas",48261,38021,2838 of 3146
"Nevada County, Arkansas",5099,38042,2837 of 3146
"Pope County, Illinois",17151,38056,2836 of 3146
"Washington County, Georgia",13303,38068,2835 of 3146
"Dallas County, Arkansas",5039,38072,2834 of 3146
"Newton County, Arkansas",5101,38082,2833 of 3146
"Carter County, Tennessee",47019,38092,2832 of 3146
"Mitchell County, Georgia",13205,38116,2831 of 3146
"Huerfano County, Colorado",8055,38137,2830 of 3146
